Pennycress_Protein,PennycressGeneID,Domain1,Domain2,GO Terms,ArabidopsisGeneID,Arabidopsis_Protein_Name,Entrez_geneID
CAH2052176.1,TAV2_LOCUS10478,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT1G71500,"Rieske	(2Fe-2S)	domain-containing	protein	","843491	"
CAH2052228.1,TAV2_LOCUS11706,consensus disorder prediction,-,0,AT1G71500,"Rieske	(2Fe-2S)	domain-containing	protein	","843491	"
CAH2052212.1,TAV2_LOCUS10536,"Aconitase, domain 3","Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3",-,AT2G05710,"aconitase	3	","815120	"
CAH2077827.1,TAV2_LOCUS22823,Aconitase iron-sulfur domain,"Aconitase, iron-sulfur domain",-,AT4G26970,"aconitase	2	","828805	"
CAH2076575.1,TAV2_LOCUS24855,"Aconitase, domain 4","Aconitase/3-isopropylmalate dehydratase, swivel",-,AT4G35830,"aconitase	1	","829737	"
CAH2052224.1,TAV2_LOCUS10530,Glycine rich protein family,Glycine rich protein,-,AT2G05520,"glycine-rich	protein	3	","815101	"
CAH2052271.1,TAV2_LOCUS8909,consensus disorder prediction,-,0,AT2G13370,"chromatin	remodeling	5	","815823	"
CAH2061075.1,TAV2_LOCUS14537,SNF2-related domain,"SNF2, N-terminal",GO:0005524|GO:0140658,AT2G25170,"chromatin	remodeling	factor	CHD3	(PICKLE)	","817055	"
CAH2077310.1,TAV2_LOCUS22989,SNF2-related domain,"SNF2, N-terminal",GO:0005524|GO:0140658,AT4G31900,"chromatin	remodeling	factor	","829320	"
CAH2055254.1,TAV2_LOCUS8833,Nucleic acid-binding proteins,"Nucleic acid-binding, OB-fold",-,AT3G02920,"Replication	protein	""A,""	subunit	RPA32	","821187	"
CAH2069181.1,TAV2_LOCUS19682,OB-fold nucleic acid binding domain,"OB-fold nucleic acid binding domain, AA-tRNA synthetase-type",GO:0003676,AT3G02920,"Replication	protein	""A,""	subunit	RPA32	","821187	"
CAH2069179.1,TAV2_LOCUS19679,OB-fold nucleic acid binding domain,"OB-fold nucleic acid binding domain, AA-tRNA synthetase-type",GO:0003676,AT3G02920,"Replication	protein	""A,""	subunit	RPA32	","821187	"
CAH2079710.1,TAV2_LOCUS25509,RPA32,Replication factor A protein 2,GO:0003677|GO:0005634|GO:0006260|GO:0006281|GO:0006310,AT3G02920,"Replication	protein	""A,""	subunit	RPA32	","821187	"
CAH2052614.1,TAV2_LOCUS10118,OB-fold nucleic acid binding domain,"OB-fold nucleic acid binding domain, AA-tRNA synthetase-type",GO:0003676,AT3G02920,"Replication	protein	""A,""	subunit	RPA32	","821187	"
CAH2054700.1,TAV2_LOCUS11785,L13_A_E: ribosomal protein uL13,"Ribosomal protein L13, eukaryotic/archaeal",GO:0003735|GO:0006412|GO:0015934,AT3G07110,"Ribosomal	protein	L13	family	protein	","819897	"
CAH2052624.1,TAV2_LOCUS9721,L13_A_E: ribosomal protein uL13,"Ribosomal protein L13, eukaryotic/archaeal",GO:0003735|GO:0006412|GO:0015934,AT5G48760,"Ribosomal	protein	L13	family	protein	","834934	"
CAH2052755.1,TAV2_LOCUS10420,serkin_6,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT3G24550,"proline	extensin-like	receptor	kinase	1	","822051	"
CAH2056833.1,TAV2_LOCUS12026,Protein tyrosine and serine/threonine kinase,"Serine-threonine/tyrosine-protein kinase, catalytic domain",GO:0004672|GO:0006468,AT3G24540,"Protein	kinase	superfamily	protein	","822050	"
CAH2052690.1,TAV2_LOCUS11636,Protein tyrosine and serine/threonine kinase,"Serine-threonine/tyrosine-protein kinase, catalytic domain",GO:0004672|GO:0006468,AT3G24540,"Protein	kinase	superfamily	protein	","822050	"
CAH2052692.1,TAV2_LOCUS11637,Protein tyrosine and serine/threonine kinase,"Serine-threonine/tyrosine-protein kinase, catalytic domain",GO:0004672|GO:0006468,AT3G24540,"Protein	kinase	superfamily	protein	","822050	"
CAH2060535.1,TAV2_LOCUS14017,Proteasome subunit,"Proteasome, subunit alpha/beta",GO:0005839|GO:0051603,AT4G14800,"20S	proteasome	beta	subunit	D2	","827135	"
CAH2069749.1,TAV2_LOCUS21821,Proteasome subunit,"Proteasome, subunit alpha/beta",GO:0005839|GO:0051603,AT4G14800,"20S	proteasome	beta	subunit	D2	","827135	"
CAH2061037.1,TAV2_LOCUS12466,Proteasome subunit,"Proteasome, subunit alpha/beta",GO:0005839|GO:0051603,AT4G14800,"20S	proteasome	beta	subunit	D2	","827135	"
CAH2053009.1,TAV2_LOCUS9739,PROTEASOME SUBUNIT BETA TYPE-2-A,Proteasome subunit beta 2,GO:0010498,AT3G22630,"20S	proteasome	beta	subunit	D1	","821834	"
CAH2079324.1,TAV2_LOCUS25921,NAD(P)H-binding,NAD(P)-binding domain,-,AT2G34460,"NAD(P)-binding	Rossmann-fold	superfamily	protein	","818009	"
CAH2053075.1,TAV2_LOCUS9719,Hsp70 protein,Heat shock protein 70 family,GO:0005524|GO:0140662,AT2G34460,"NAD(P)-binding	Rossmann-fold	superfamily	protein	","818009	"
CAH2053074.1,TAV2_LOCUS11837,Hsp70 protein,Heat shock protein 70 family,GO:0005524|GO:0140662,AT2G34460,"NAD(P)-binding	Rossmann-fold	superfamily	protein	","818009	"
CAH2079720.1,TAV2_LOCUS22760,NAD(P)H-binding,NAD(P)-binding domain,-,AT2G34460,"NAD(P)-binding	Rossmann-fold	superfamily	protein	","818009	"
CAH2059422.1,TAV2_LOCUS13611,NAD(P)H-binding,NAD(P)-binding domain,-,AT2G34460,"NAD(P)-binding	Rossmann-fold	superfamily	protein	","818009	"
CAH2053140.1,TAV2_LOCUS8797,AMP-binding enzyme C-terminal domain,"AMP-binding enzyme, C-terminal domain",-,AT3G21230,"4-coumarate:CoA	ligase	5	","821677	"
CAH2053143.1,TAV2_LOCUS8795,-,"AMP-binding enzyme, C-terminal domain superfamily",-,AT3G21230,"4-coumarate:CoA	ligase	5	","821677	"
CAH2053139.1,TAV2_LOCUS8798,-,"AMP-binding enzyme, C-terminal domain superfamily",-,AT3G21230,"4-coumarate:CoA	ligase	5	","821677	"
CAH2053141.1,TAV2_LOCUS8796,-,"ANL, N-terminal domain",-,AT3G21230,"4-coumarate:CoA	ligase	5	","821677	"
CAH2053142.1,TAV2_LOCUS10815,AMP-binding enzyme,AMP-dependent synthetase/ligase,-,AT3G21230,"4-coumarate:CoA	ligase	5	","821677	"
CAH2076797.1,TAV2_LOCUS24149,Squalene/Phytoene Synthase Like,Squalene/phytoene synthase,GO:0009058,AT4G34650,"squalene	synthase	2	","829617	"
CAH2076799.1,TAV2_LOCUS25552,Squalene/phytoene synthase,Squalene/phytoene synthase,GO:0009058,AT4G34640,"squalene	synthase	1	","829616	"
CAH2076795.1,TAV2_LOCUS24920,Squalene/phytoene synthase,Squalene/phytoene synthase,GO:0009058,AT4G34640,"squalene	synthase	1	","829616	"
CAH2053172.1,TAV2_LOCUS8991,Squalene/phytoene synthase,Squalene/phytoene synthase,GO:0009058,AT4G34640,"squalene	synthase	1	","829616	"
CAH2061259.1,TAV2_LOCUS12509,RNA POLYMERASE II CTD PHOSPHATASE,CTD phosphatase Fcp1,GO:0008420|GO:0070940,AT5G54210,"Haloacid	dehalogenase-like	hydrolase	(HAD)	superfamily	protein	","835509	"
CAH2070004.1,TAV2_LOCUS19670,RNA POLYMERASE II CTD PHOSPHATASE,CTD phosphatase Fcp1,GO:0008420|GO:0070940,AT5G54210,"Haloacid	dehalogenase-like	hydrolase	(HAD)	superfamily	protein	","835509	"
CAH2079918.1,TAV2_LOCUS23710,RNA POLYMERASE II CTD PHOSPHATASE,CTD phosphatase Fcp1,GO:0008420|GO:0070940,AT5G54210,"Haloacid	dehalogenase-like	hydrolase	(HAD)	superfamily	protein	","835509	"
CAH2053291.1,TAV2_LOCUS9196,RNA POLYMERASE II CTD PHOSPHATASE,CTD phosphatase Fcp1,GO:0008420|GO:0070940,AT5G54210,"Haloacid	dehalogenase-like	hydrolase	(HAD)	superfamily	protein	","835509	"
CAH2064311.1,TAV2_LOCUS17557,RNA POLYMERASE II CTD PHOSPHATASE,CTD phosphatase Fcp1,GO:0008420|GO:0070940,AT5G54210,"Haloacid	dehalogenase-like	hydrolase	(HAD)	superfamily	protein	","835509	"
CAH2070236.1,TAV2_LOCUS21941,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G52400,"cytochrome	""P450,""	family	""715,""	subfamily	""A,""	polypeptide	1	","835316	"
CAH2072189.1,TAV2_LOCUS20712,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G52400,"cytochrome	""P450,""	family	""715,""	subfamily	""A,""	polypeptide	1	","835316	"
CAH2056706.1,TAV2_LOCUS11919,CYTOCHROME P450 FAMILY 72 PROTEIN,-,0,AT5G52400,"cytochrome	""P450,""	family	""715,""	subfamily	""A,""	polypeptide	1	","835316	"
CAH2056705.1,TAV2_LOCUS11922,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G52400,"cytochrome	""P450,""	family	""715,""	subfamily	""A,""	polypeptide	1	","835316	"
CAH2053696.1,TAV2_LOCUS11656,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G52400,"cytochrome	""P450,""	family	""715,""	subfamily	""A,""	polypeptide	1	","835316	"
CAH2053920.1,TAV2_LOCUS11558,Seed dormancy control,Transcription factor TGA like domain,GO:0006351|GO:0043565,AT3G12250,"TGACG	motif-binding	factor	6	","820405	"
CAH2073780.1,TAV2_LOCUS18706,Seed dormancy control,Transcription factor TGA like domain,GO:0006351|GO:0043565,AT5G06960,"OCS-element	binding	factor	5	","830587	"
CAH2073782.1,TAV2_LOCUS19988,Seed dormancy control,Transcription factor TGA like domain,GO:0006351|GO:0043565,AT5G06950,"bZIP	transcription	factor	family	protein	","830586	"
CAH2058669.1,TAV2_LOCUS13360,Ribosomal protein L10-like,Ribosomal protein L10-like domain superfamily,-,AT2G40010,"Ribosomal	protein	L10	family	protein	","818589	"
CAH2054086.1,TAV2_LOCUS9861,L10E,60S acidic ribosomal protein P0,GO:0042254,AT3G11250,"Ribosomal	protein	L10	family	protein	","820296	"
CAH2054422.1,TAV2_LOCUS10797,L10E,60S acidic ribosomal protein P0,GO:0042254,AT3G11250,"Ribosomal	protein	L10	family	protein	","820296	"
CAH2054168.1,TAV2_LOCUS11465,efh_1,EF-hand domain,GO:0005509,AT3G10660,"calmodulin-domain	protein	kinase	cdpk	isoform	2	","820235	"
CAH2057585.1,TAV2_LOCUS12245,EFh,EF-hand domain,GO:0005509,AT5G04870,"calcium	dependent	protein	kinase	1	","830366	"
CAH2067517.1,TAV2_LOCUS17252,EF-hand domain pair,EF-hand domain,GO:0005509,AT5G04870,"calcium	dependent	protein	kinase	1	","830366	"
CAH2074107.1,TAV2_LOCUS20061,EFh,EF-hand domain,GO:0005509,AT5G04870,"calcium	dependent	protein	kinase	1	","830366	"
CAH2054182.1,TAV2_LOCUS11469,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT3G10570,"cytochrome	""P450,""	family	""77,""	subfamily	""A,""	polypeptide	6	","820222	"
CAH2054184.1,TAV2_LOCUS11468,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G04660,"cytochrome	""P450,""	family	""77,""	subfamily	""A,""	polypeptide	4	","830343	"
CAH2054225.1,TAV2_LOCUS9643,Transcription factor TFIIB repeat,"Transcription factor TFIIB, cyclin-like domain",GO:0017025,AT3G10330,"Cyclin-like	family	protein	","820195	"
CAH2058496.1,TAV2_LOCUS12257,Transcription factor TFIIB repeat,"Transcription factor TFIIB, cyclin-like domain",GO:0017025,AT2G41630,"transcription	factor	IIB	","818761	"
CAH2074201.1,TAV2_LOCUS18970,Transcription factor TFIIB repeat,"Transcription factor TFIIB, cyclin-like domain",GO:0017025,AT3G57370,"Cyclin	family	protein	","824904	"
CAH2064279.1,TAV2_LOCUS16027,"FAD/NAD-linked reductases, dimerisation (C-terminal) domain","FAD/NAD-linked reductase, dimerisation domain superfamily",GO:0016491|GO:0050660,AT3G52880,"monodehydroascorbate	reductase	1	","824454	"
CAH2074288.1,TAV2_LOCUS19225,"FAD/NAD-linked reductases, dimerisation (C-terminal) domain","FAD/NAD-linked reductase, dimerisation domain superfamily",GO:0016491|GO:0050660,AT5G03630,"Pyridine	nucleotide-disulfide	oxidoreductase	family	protein	","831774	"
CAH2054278.1,TAV2_LOCUS10015,-,"FAD/NAD-linked reductase, dimerisation domain superfamily",GO:0016491|GO:0050660,AT3G09940,"monodehydroascorbate	reductase	","820155	"
CAH2074505.1,TAV2_LOCUS21798,Transmembrane amino acid transporter protein,"Amino acid transporter, transmembrane domain",-,AT5G02170,"Transmembrane	amino	acid	transporter	family	protein	","831896	"
CAH2074507.1,TAV2_LOCUS21799,Transmembrane amino acid transporter protein,"Amino acid transporter, transmembrane domain",-,AT3G09330,"Transmembrane	amino	acid	transporter	family	protein	","820089	"
CAH2054392.1,TAV2_LOCUS11594,Transmembrane amino acid transporter protein,"Amino acid transporter, transmembrane domain",-,AT3G09330,"Transmembrane	amino	acid	transporter	family	protein	","820089	"
CAH2054478.1,TAV2_LOCUS8940,REGULATORY-ASSOCIATED PROTEIN OF MTOR,Regulatory associated protein of TOR,GO:0031929|GO:0031931,AT3G08850,"Regulatory-associated	protein	of	TOR	1	","820032	"
CAH2074659.1,TAV2_LOCUS21629,REGULATORY-ASSOCIATED PROTEIN OF MTOR,Regulatory associated protein of TOR,GO:0031929|GO:0031931,AT5G01770,"regulatory-associated	protein	of	TOR	2	(RAPTOR2)	","831681	"
CAH2074661.1,TAV2_LOCUS21630,REGULATORY-ASSOCIATED PROTEIN OF MTOR,Regulatory associated protein of TOR,GO:0031929|GO:0031931,AT5G01770,"regulatory-associated	protein	of	TOR	2	(RAPTOR2)	","831681	"
CAH2074657.1,TAV2_LOCUS21628,REGULATORY-ASSOCIATED PROTEIN OF MTOR,Regulatory associated protein of TOR,GO:0031929|GO:0031931,AT5G01770,"regulatory-associated	protein	of	TOR	2	(RAPTOR2)	","831681	"
CAH2060709.1,TAV2_LOCUS13159,Epoxide hydrolase signature,Epoxide hydrolase-like,GO:0003824,AT2G26740,"soluble	epoxide	hydrolase	","817215	"
CAH2054984.1,TAV2_LOCUS10278,Epoxide hydrolase signature,Epoxide hydrolase-like,GO:0003824,AT3G51000,"alpha/beta-Hydrolases	superfamily	protein	","824264	"
CAH2055159.1,TAV2_LOCUS8750,NAD_bind_1_Glu_DH,NAD(P) binding domain of glutamate dehydrogenase,GO:0016639,AT3G03910,"glutamate	dehydrogenase	3	","821072	"
CAH2073691.1,TAV2_LOCUS20347,Glu_DH,Glutamate dehydrogenase,GO:0016639,AT5G07440,"glutamate	dehydrogenase	2	","830635	"
CAH2072458.1,TAV2_LOCUS22361,NAD_bind_1_Glu_DH,NAD(P) binding domain of glutamate dehydrogenase,GO:0016639,AT5G18170,"glutamate	dehydrogenase	1	","831935	"
CAH2072483.1,TAV2_LOCUS18497,"Cobalamin-independent synthase, Catalytic domain","Cobalamin-independent methionine synthase MetE, C-terminal/archaeal",GO:0003871|GO:0008270|GO:0009086,AT5G17920,"Cobalamin-independent	synthase	family	protein	","831660	"
CAH2055177.1,TAV2_LOCUS11001,Met_synth_MetE,Cobalamin-independent methionine synthase,GO:0003871|GO:0008270|GO:0009086,AT3G03780,"methionine	synthase	2	","821147	"
CAH2072242.1,TAV2_LOCUS21297,CIMS_C_terminal_like,"Cobalamin-independent methionine synthase MetE, C-terminal/archaeal",GO:0003871|GO:0008270|GO:0009086,AT5G20980,"methionine	synthase	3	","832223	"
CAH2055296.1,TAV2_LOCUS11170,Protein of unknown function (DUF679),Protein DMP,-,AT3G02430,"transmembrane	""protein,""	putative	(DUF679)	","821304	"
CAH2078086.1,TAV2_LOCUS23179,PROTEIN DMP3,Protein DMP,-,AT3G21520,"transmembrane	""protein,""	putative	(DUF679	domain	membrane	protein	1)	","821706	"
CAH2072693.1,TAV2_LOCUS18751,Cys/Met metabolism PLP-dependent enzyme,"Cys/Met metabolism, pyridoxal phosphate-dependent enzyme",GO:0019346|GO:0030170,AT1G64660,"methionine	gamma-lyase	","842774	"
CAH2056819.1,TAV2_LOCUS12012,CGS_like,"Cys/Met metabolism, pyridoxal phosphate-dependent enzyme",GO:0019346|GO:0030170,AT3G01120,"Pyridoxal	phosphate	(PLP)-dependent	transferases	superfamily	protein	","821292	"
CAH2055335.1,TAV2_LOCUS9651,Cys/Met metabolism PLP-dependent enzyme,"Cys/Met metabolism, pyridoxal phosphate-dependent enzyme",GO:0019346|GO:0030170,AT3G01120,"Pyridoxal	phosphate	(PLP)-dependent	transferases	superfamily	protein	","821292	"
CAH2073753.1,TAV2_LOCUS19110,-,PX domain superfamily,GO:0035091,AT5G07120,"sorting	nexin	2B	","830603	"
CAH2069531.1,TAV2_LOCUS18451,PX domain,Phox homology,GO:0035091,AT5G37050,"sorting	nexin	","833675	"
CAH2056673.1,TAV2_LOCUS11889,PX domain,PX domain superfamily,GO:0035091,AT5G58440,"sorting	nexin	2A	","835957	"
CAH2058848.1,TAV2_LOCUS14425,Transmembrane amino acid transporter protein,"Amino acid transporter, transmembrane domain",-,AT2G38120,"Transmembrane	amino	acid	transporter	family	protein	","818390	"
CAH2074569.1,TAV2_LOCUS19306,Transmembrane amino acid transporter protein,"Amino acid transporter, transmembrane domain",-,AT5G01240,"uncharacterized	protein	","831866	"
CAH2056690.1,TAV2_LOCUS11905,Transmembrane amino acid transporter protein,"Amino acid transporter, transmembrane domain",-,AT1G77690,"uncharacterized	protein	","844105	"
CAH2061530.1,TAV2_LOCUS12752,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT2G22330,"cytochrome	""P450,""	family	""79,""	subfamily	""B,""	polypeptide	3	","816765	"
CAH2075720.1,TAV2_LOCUS22416,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G39950,"cytochrome	""P450,""	family	""79,""	subfamily	""B,""	polypeptide	2	","830154	"
CAH2056703.1,TAV2_LOCUS11918,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G39950,"cytochrome	""P450,""	family	""79,""	subfamily	""B,""	polypeptide	2	","830154	"
CAH2076056.1,TAV2_LOCUS25045,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G39950,"cytochrome	""P450,""	family	""79,""	subfamily	""B,""	polypeptide	2	","830154	"
CAH2078209.1,TAV2_LOCUS24201,NF-E2 INDUCIBLE PROTEIN,MINDY deubiquitinase,GO:0004843|GO:1990380,AT4G11860,"FAM63A-like	protein	(DUF544)	","826793	"
CAH2056751.1,TAV2_LOCUS11968,NF-E2 INDUCIBLE PROTEIN,MINDY deubiquitinase,GO:0004843|GO:1990380,AT4G11860,"FAM63A-like	protein	(DUF544)	","826793	"
CAH2056752.1,TAV2_LOCUS11970,#N/A,#N/A,#N/A,AT4G11860,"FAM63A-like	protein	(DUF544)	","826793	"
CAH2056753.1,TAV2_LOCUS11969,NF-E2 INDUCIBLE PROTEIN,MINDY deubiquitinase,GO:0004843|GO:1990380,AT4G11860,"FAM63A-like	protein	(DUF544)	","826793	"
CAH2071318.1,TAV2_LOCUS20479,MINDY deubiquitinase,MINDY deubiquitinase domain,GO:0004843|GO:1990380,AT4G11860,"FAM63A-like	protein	(DUF544)	","826793	"
CAH2067858.1,TAV2_LOCUS16047,-,Chloramphenicol acetyltransferase-like domain superfamily,-,AT1G78990,"HXXXD-type	acyl-transferase	family	protein	","844239	"
CAH2056773.1,TAV2_LOCUS11988,-,Chloramphenicol acetyltransferase-like domain superfamily,-,AT5G16410,"HXXXD-type	acyl-transferase	family	protein	","831502	"
CAH2080579.1,TAV2_LOCUS26284,-,Chloramphenicol acetyltransferase-like domain superfamily,-,AT5G16410,"HXXXD-type	acyl-transferase	family	protein	","831502	"
CAH2063437.1,TAV2_LOCUS16791,Glycosyl hydrolase family 1 signature,Glycoside hydrolase family 1,GO:0004553|GO:0005975,AT3G60140,"Glycosyl	hydrolase	superfamily	protein	","825184	"
CAH2063435.1,TAV2_LOCUS16787,Glycosyl hydrolase family 1,Glycoside hydrolase family 1,GO:0004553|GO:0005975,AT3G60140,"Glycosyl	hydrolase	superfamily	protein	","825184	"
CAH2058010.1,TAV2_LOCUS13395,GLYCOSYL HYDROLASE,Glycoside hydrolase family 1,GO:0004553|GO:0005975,AT2G44470,"beta	glucosidase	29	","819054	"
CAH2063453.1,TAV2_LOCUS17951,CITRATE SYNTHASE,Citrate synthase,GO:0046912,AT2G11270,"citrate	synthase-like	protein	","815597	"
CAH2063447.1,TAV2_LOCUS16789,"Citrate synthase, C-terminal domain",Citrate synthase,GO:0046912,AT3G60100,"citrate	synthase	5	","825180	"
CAH2058038.1,TAV2_LOCUS14416,"Citrate synthase, C-terminal domain",Citrate synthase,GO:0046912,AT2G44350,"Citrate	synthase	family	protein	","819042	"
CAH2058055.1,TAV2_LOCUS12641,Vacuolar protein sorting-associated protein 62,Vacuolar protein sorting-associated protein 62,-,AT2G44230,"hypothetical	protein	(DUF946)	","819031	"
CAH2058047.1,TAV2_LOCUS12638,Neprosin,Neprosin,-,AT3G01880,"vacuolar	sorting-associated	protein	(DUF946)	","821296	"
CAH2063631.1,TAV2_LOCUS15304,Citrate synthase,Citrate synthase superfamily,GO:0046912,AT3G58740,"citrate	synthase	1	","825043	"
CAH2058309.1,TAV2_LOCUS13580,Citrate synthase,Citrate synthase superfamily,GO:0046912,AT2G42790,"citrate	synthase	3	","818879	"
CAH2063628.1,TAV2_LOCUS15307,CITRATE SYNTHASE,Citrate synthase,GO:0046912,AT3G58750,"citrate	synthase	2	","825044	"
CAH2058319.1,TAV2_LOCUS13577,60S RIBOSOMAL PROTEIN L11-RELATED,Ribosomal protein L5,GO:0003735|GO:0005840|GO:0006412,AT2G42740,"ribosomal	protein	large	subunit	16A	","818874	"
CAH2063638.1,TAV2_LOCUS15300,60S RIBOSOMAL PROTEIN L11-RELATED,Ribosomal protein L5,GO:0003735|GO:0005840|GO:0006412,AT2G42740,"ribosomal	protein	large	subunit	16A	","818874	"
CAH2058624.1,TAV2_LOCUS13880,LIMKAIN B  LKAP,Meiosis regulator and mRNA stability factor 1,GO:0005777|GO:0010468|GO:1903231,AT5G39640,"Putative	endonuclease	or	glycosyl	hydrolase	","833960	"
CAH2058905.1,TAV2_LOCUS12570,small_GTP: small GTP-binding protein domain,Small GTP-binding protein domain,GO:0005525,AT3G53610,"RAB	GTPase	homolog	8	","824529	"
CAH2065249.1,TAV2_LOCUS16714,small_GTP: small GTP-binding protein domain,Small GTP-binding protein domain,GO:0005525,AT3G46060,"RAB	GTPase	homolog	8A	","823749	"
CAH2069388.1,TAV2_LOCUS19199,small_GTP: small GTP-binding protein domain,Small GTP-binding protein domain,GO:0005525,AT5G59840,"Ras-related	small	GTP-binding	family	protein	","836105	"
CAH2058912.1,TAV2_LOCUS12692,TPR-like,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT3G09490,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","820106	"
CAH2059132.1,TAV2_LOCUS12427,B3 DOMAIN-CONTAINING TRANSCRIPTION FACTOR ABI3,B3 domain-containing transcription factor LEC2-like,GO:0003700,AT2G36080,"AP2/B3-like	transcriptional	factor	family	protein	","818181	"
CAH2059495.1,TAV2_LOCUS14564,EFh,EF-hand domain,GO:0005509,AT2G34020,"Calcium-binding	EF-hand	family	protein	","817963	"
CAH2059493.1,TAV2_LOCUS14563,EF hand,EF-hand domain,GO:0005509,AT1G29025,"Calcium-binding	EF-hand	family	protein	","10723075	"
CAH2059902.1,TAV2_LOCUS13724,uS3_euk_arch: ribosomal protein uS3,"Ribosomal protein S3, eukaryotic/archaeal",GO:0003735|GO:0006412|GO:0015935,AT3G53870,"Ribosomal	protein	S3	family	protein	","824554	"
CAH2059897.1,TAV2_LOCUS13728,uS3_euk_arch: ribosomal protein uS3,"Ribosomal protein S3, eukaryotic/archaeal",GO:0003735|GO:0006412|GO:0015935,AT3G53870,"Ribosomal	protein	S3	family	protein	","824554	"
CAH2079490.1,TAV2_LOCUS22870,uS3_euk_arch: ribosomal protein uS3,"Ribosomal protein S3, eukaryotic/archaeal",GO:0003735|GO:0006412|GO:0015935,AT2G31610,"Ribosomal	protein	S3	family	protein	","817719	"
